,param_n_estimators,param_learning_rate,param_loss,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
105,10,0.3,squared_error,friedman_mse,10,0.9235447443935716,-0.0023673202041341788
106,14,0.3,squared_error,friedman_mse,10,0.9242892044823791,-0.0022789598723812455
107,16,0.3,squared_error,friedman_mse,10,0.9249050332263977,-0.0022574435711754403
108,7,0.3,squared_error,friedman_mse,12,0.9108103037106229,-0.0026910639191194733
109,10,0.3,squared_error,friedman_mse,12,0.920999004244465,-0.0023169520751796084
110,14,0.3,squared_error,friedman_mse,12,0.9236251649059642,-0.0022018801344020895
111,16,0.3,squared_error,friedman_mse,12,0.9232553772349352,-0.0021955787594161785
112,7,0.3,absolute_error,friedman_mse,6,0.8643503489064536,-0.004929973411573635
113,10,0.3,absolute_error,friedman_mse,6,0.8986687093694954,-0.003444683106014917
114,14,0.3,absolute_error,friedman_mse,6,0.916808839379731,-0.002689388571723045
115,16,0.3,absolute_error,friedman_mse,6,0.9250699326216907,-0.002309025492736968
116,7,0.3,absolute_error,friedman_mse,8,0.8664794965333311,-0.004853892693525932
117,10,0.3,absolute_error,friedman_mse,8,0.9011553101177604,-0.003373973627021526
118,14,0.3,absolute_error,friedman_mse,8,0.9224724601446852,-0.0024357294214915927
119,16,0.3,absolute_error,friedman_mse,8,0.9275455398018255,-0.0022431006925819176
120,7,0.3,absolute_error,friedman_mse,10,0.8659942258180683,-0.004839045163167601
121,10,0.3,absolute_error,friedman_mse,10,0.8983217459699737,-0.003482919610510002
122,14,0.3,absolute_error,friedman_mse,10,0.9213455089574172,-0.002527334475978562
123,16,0.3,absolute_error,friedman_mse,10,0.93161574608848,-0.0021552512633865204
124,7,0.3,absolute_error,friedman_mse,12,0.8679888967174254,-0.004794855084375292
125,10,0.3,absolute_error,friedman_mse,12,0.9015426715249626,-0.0033552677760877387
126,14,0.3,absolute_error,friedman_mse,12,0.9234649255262383,-0.002460072103005318
127,16,0.3,absolute_error,friedman_mse,12,0.9298449819524717,-0.0021509015938887027
128,7,0.5,squared_error,friedman_mse,6,0.9268685036592684,-0.0020537105826045113
129,10,0.5,squared_error,friedman_mse,6,0.9266800444569823,-0.0020699412003064134
130,14,0.5,squared_error,friedman_mse,6,0.9262503654313473,-0.0020664694507586436
131,16,0.5,squared_error,friedman_mse,6,0.9264677184494046,-0.0020594162956738874
132,7,0.5,squared_error,friedman_mse,8,0.9268595078744951,-0.002144679831004099
133,10,0.5,squared_error,friedman_mse,8,0.928347771564861,-0.002074743105889803
134,14,0.5,squared_error,friedman_mse,8,0.929282707095615,-0.002054266890581892
135,16,0.5,squared_error,friedman_mse,8,0.9258741731979503,-0.00212303744796347
136,7,0.5,squared_error,friedman_mse,10,0.9255972555570949,-0.0022089113363801495
137,10,0.5,squared_error,friedman_mse,10,0.9254907361285325,-0.0021889826190244393
138,14,0.5,squared_error,friedman_mse,10,0.925860148769492,-0.002180165310950481
139,16,0.5,squared_error,friedman_mse,10,0.9256086052193689,-0.002173999349664838
140,7,0.5,squared_error,friedman_mse,12,0.920284999582447,-0.0022398077643193785
141,10,0.5,squared_error,friedman_mse,12,0.923548481459784,-0.0021543971183892
142,14,0.5,squared_error,friedman_mse,12,0.9219602107533287,-0.002179711220195445
143,16,0.5,squared_error,friedman_mse,12,0.9219783306355855,-0.0021777993752259634
144,7,0.5,absolute_error,friedman_mse,6,0.9013744322874014,-0.0028189553679379975
145,10,0.5,absolute_error,friedman_mse,6,0.9184828029304588,-0.0022419461864137515
146,14,0.5,absolute_error,friedman_mse,6,0.9205792796118782,-0.002321720282529978
147,16,0.5,absolute_error,friedman_mse,6,0.9233787229403554,-0.00217530390978864
148,7,0.5,absolute_error,friedman_mse,8,0.8871918305041879,-0.0037591927983537652
149,10,0.5,absolute_error,friedman_mse,8,0.9206683339006652,-0.002213469894782289
150,14,0.5,absolute_error,friedman_mse,8,0.899968085068803,-0.003335760917345283
151,16,0.5,absolute_error,friedman_mse,8,0.9071995540652089,-0.0030001382718686646
152,7,0.5,absolute_error,friedman_mse,10,0.8832031594263237,-0.0039080621985516425
153,10,0.5,absolute_error,friedman_mse,10,0.9191905736483228,-0.002265777704893238
154,14,0.5,absolute_error,friedman_mse,10,0.9234270756757346,-0.0022509486496040893
155,16,0.5,absolute_error,friedman_mse,10,0.921195354914308,-0.002340847872558495
156,7,0.5,absolute_error,friedman_mse,12,0.9088302518984097,-0.002719779047103892
157,10,0.5,absolute_error,friedman_mse,12,0.9033402109771054,-0.0031527170978769307
158,14,0.5,absolute_error,friedman_mse,12,0.9012433718026867,-0.0033710024296014587
159,16,0.5,absolute_error,friedman_mse,12,0.8994336476399107,-0.0033385874763773664
160,7,0.7,squared_error,friedman_mse,6,0.9220497419101997,-0.0020872323605820465
161,10,0.7,squared_error,friedman_mse,6,0.9244738665635337,-0.0020097039485520232
162,14,0.7,squared_error,friedman_mse,6,0.9233160260591442,-0.002033877417579428
163,16,0.7,squared_error,friedman_mse,6,0.9242698358395931,-0.002031257935678245
164,7,0.7,squared_error,friedman_mse,8,0.929054206753231,-0.002012099086269384
165,10,0.7,squared_error,friedman_mse,8,0.9254419402509093,-0.002104192991351685
166,14,0.7,squared_error,friedman_mse,8,0.9273945432261241,-0.0021076261129698275
167,16,0.7,squared_error,friedman_mse,8,0.9229521106465624,-0.0021715348234916595
168,7,0.7,squared_error,friedman_mse,10,0.9267932045811179,-0.0021697940868510507
169,10,0.7,squared_error,friedman_mse,10,0.9257356331262688,-0.0021876372086578285
170,14,0.7,squared_error,friedman_mse,10,0.926719122744986,-0.0021764045120457563
171,16,0.7,squared_error,friedman_mse,10,0.9268663473091336,-0.0021828875009543627
172,7,0.7,squared_error,friedman_mse,12,0.9235821409076044,-0.002181979863131559
173,10,0.7,squared_error,friedman_mse,12,0.9232230523581719,-0.0021823155255760902
174,14,0.7,squared_error,friedman_mse,12,0.9221465874742719,-0.0022117514299428995
175,16,0.7,squared_error,friedman_mse,12,0.9227295732935012,-0.0022123730161495887
176,7,0.7,absolute_error,friedman_mse,6,0.9099113264187608,-0.0024095870093675687
177,10,0.7,absolute_error,friedman_mse,6,0.9281854407618422,-0.0020553139295032643
178,14,0.7,absolute_error,friedman_mse,6,0.9307287941660892,-0.002121162973998561
179,16,0.7,absolute_error,friedman_mse,6,0.9291217957236437,-0.0020235050010431388
180,7,0.7,absolute_error,friedman_mse,8,0.9293681017852066,-0.0021351106677662377
181,10,0.7,absolute_error,friedman_mse,8,0.9336760687609189,-0.001931701914403854
182,14,0.7,absolute_error,friedman_mse,8,0.9319988942414164,-0.0021206431328202498
183,16,0.7,absolute_error,friedman_mse,8,0.9320151247986915,-0.002114469999870075
184,7,0.7,absolute_error,friedman_mse,10,0.9308632048333914,-0.002130206319271901
185,10,0.7,absolute_error,friedman_mse,10,0.9299290771203553,-0.00223060498125258
186,14,0.7,absolute_error,friedman_mse,10,0.9360227066079428,-0.001965778139768836
187,16,0.7,absolute_error,friedman_mse,10,0.9335526735328322,-0.0020664858829051278
188,7,0.7,absolute_error,friedman_mse,12,0.9337869858906565,-0.0019915754821352195
189,10,0.7,absolute_error,friedman_mse,12,0.9282450818508711,-0.002221759479266102
190,14,0.7,absolute_error,friedman_mse,12,0.9297899327762593,-0.002125215632657656
191,16,0.7,absolute_error,friedman_mse,12,0.9371609010197208,-0.0018997529225393242
