DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
3370.1,8.594,0.054,0.24,6.494,2.592,0.001,0.058,0.774
3370.2,8.594,0.052,0.242,6.491,2.667,0.001,0.058,0.751
3370.3,8.594,0.05,0.238,6.51,2.757,0.001,0.058,0.741
3370.4,8.594,0.049,0.239,6.518,2.812,0.001,0.057,0.73
3370.5,8.578,0.049,0.238,6.508,2.853,0.001,0.056,0.71
3370.6,8.578,0.049,0.239,6.51,2.927,0.001,0.056,0.683
3370.7,8.594,0.048,0.238,6.55,2.968,0.001,0.056,0.665
3370.8,8.625,0.049,0.239,6.62,2.956,0.001,0.056,0.698
3370.9,8.625,0.05,0.238,6.68,2.859,0.001,0.055,0.705
3371,8.594,0.053,0.238,6.693,2.872,0.001,0.054,0.708
3371.1,8.609,0.055,0.235,6.665,2.642,0.001,0.053,0.697
3371.2,8.578,0.056,0.235,6.624,2.594,0.001,0.052,0.701
3371.3,8.578,0.057,0.238,6.598,2.518,0.001,0.052,0.714
3371.4,8.578,0.057,0.243,6.598,2.413,0.001,0.052,0.708
3371.5,8.578,0.058,0.249,6.604,2.445,0.001,0.052,0.72
3371.6,8.601,0.057,0.252,6.592,2.387,0.001,0.051,0.72
3371.7,8.578,0.057,0.25,6.566,2.431,0.001,0.051,0.719
3371.8,8.578,0.057,0.246,6.531,2.323,0.001,0.049,0.748
3371.9,8.578,0.057,0.241,6.493,2.237,0.001,0.048,0.753
3372,8.594,0.058,0.235,6.465,2.338,0.001,0.047,0.718
3372.1,8.625,0.057,0.235,6.452,2.352,0.001,0.046,0.674
3372.2,8.578,0.055,0.238,6.464,2.359,0.001,0.046,0.666
3372.3,8.578,0.05,0.237,6.492,2.344,0.001,0.047,0.671
3372.4,8.594,0.045,0.236,6.539,2.355,0.001,0.049,0.667
3372.5,8.625,0.042,0.229,6.602,2.341,0.001,0.05,0.639
3372.6,8.625,0.043,0.225,6.666,2.359,0.001,0.05,0.658
3372.7,8.578,0.048,0.225,6.718,2.318,0.001,0.047,0.66
3372.8,8.578,0.055,0.224,6.744,2.314,0.001,0.045,0.645
3372.9,8.578,0.06,0.227,6.746,2.354,0.001,0.045,0.637
3373,8.578,0.062,0.233,6.747,2.371,0.001,0.046,0.637
3373.1,8.578,0.061,0.239,6.772,2.443,0.001,0.049,0.657
3373.2,8.609,0.057,0.241,6.828,2.544,0.001,0.051,0.669
3373.3,8.578,0.053,0.244,6.864,2.478,0.001,0.053,0.671
3373.4,8.578,0.052,0.242,6.829,2.474,0.001,0.052,0.688
3373.5,8.578,0.051,0.24,6.724,2.434,0.001,0.05,0.7
3373.6,8.578,0.052,0.239,6.614,2.47,0.001,0.049,0.684
3373.7,8.578,0.052,0.24,6.561,2.493,0.001,0.048,0.66
3373.8,8.578,0.053,0.243,6.576,2.526,0.001,0.047,0.657
3373.9,8.578,0.056,0.247,6.612,2.519,0.001,0.044,0.692
3374,8.578,0.059,0.251,6.648,2.577,0.001,0.042,0.703
3374.1,8.625,0.06,0.25,6.691,2.611,0.001,0.04,0.697
3374.2,8.578,0.058,0.251,6.737,2.571,0.001,0.039,0.702
3374.3,8.578,0.057,0.248,6.755,2.568,0.001,0.039,0.73
3374.4,8.578,0.055,0.248,6.733,2.495,0.001,0.039,0.733
3374.5,8.625,0.054,0.247,6.695,2.564,0.001,0.04,0.738
3374.6,8.594,0.052,0.251,6.685,2.614,0.001,0.043,0.75
3374.7,8.578,0.053,0.252,6.734,2.556,0.001,0.044,0.758
3374.8,8.578,0.056,0.252,6.828,2.501,0.001,0.042,0.778
3374.9,8.578,0.061,0.252,6.9,2.451,0.001,0.039,0.768
3375,8.578,0.067,0.253,6.897,2.482,0.001,0.037,0.753
3375.1,8.578,0.071,0.254,6.817,2.462,0.001,0.036,0.757
