,param_max_depth,param_early_stopping_rounds,param_n_estimators,param_learning_rate,param_tree_method,mean_test_r2,mean_test_neg_mean_squared_error
177,10,5,200,0.01,approx,0.8869138200404546,-0.003018498574872157
178,10,5,300,0.01,exact,0.9051039965224911,-0.002445214351406956
179,10,5,300,0.01,approx,0.9078020593869999,-0.002303371419913953
180,10,5,400,0.01,exact,0.9080709379843398,-0.002293222127277658
181,10,5,400,0.01,approx,0.910287252881983,-0.0021635153361415937
182,10,5,500,0.01,exact,0.9082740727052107,-0.0022563399071767955
183,10,5,500,0.01,approx,0.9106885355069749,-0.002114695638701655
184,12,5,200,0.01,exact,0.8829669105928003,-0.00320342624532191
185,12,5,200,0.01,approx,0.8864970667711226,-0.003034400215525218
186,12,5,300,0.01,exact,0.9027609864959973,-0.002577557104898213
187,12,5,300,0.01,approx,0.905894531943994,-0.002427186880234713
188,12,5,400,0.01,exact,0.9039861187688067,-0.0024883239962041025
189,12,5,400,0.01,approx,0.9075861130095145,-0.002298098447339325
190,12,5,500,0.01,exact,0.9043358800066569,-0.0024485605521748196
191,12,5,500,0.01,approx,0.9079390227750501,-0.0022378299089552845
